model_index,model_name,model_human_corr,beta_acc_15_30_45_60_75,model_base_model_name,model_layer_name,model_contourtraining_diet,model_contourtraining_finetune
32,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_030.pt,0.704415379145704,[0.9675 0.9625 0.925  0.645  0.5175],alexnet-pytorch_regim_categ,classifier.1,30,True
33,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_000.pt,0.5876409685549465,[0.8875 0.5425 0.5    0.4975 0.5   ],alexnet-pytorch_regim_categ,classifier.1,0,True
34,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_018.pt,0.7439578613394058,[0.985  0.91   0.615  0.4925 0.4875],alexnet-pytorch_regim_categ,classifier.1,18,True
35,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_024.pt,0.7405722741451432,[0.9825 0.96   0.7975 0.5075 0.48  ],alexnet-pytorch_regim_categ,classifier.1,24,True
36,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_022.pt,0.7532363818658481,[0.9775 0.9525 0.77   0.505  0.4825],alexnet-pytorch_regim_categ,classifier.1,22,True
37,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_010.pt,0.6571113521090443,[0.97   0.7275 0.5025 0.495  0.495 ],alexnet-pytorch_regim_categ,classifier.1,10,True
38,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_008.pt,0.6346017938400913,[0.955  0.6625 0.5025 0.4975 0.5   ],alexnet-pytorch_regim_categ,classifier.1,8,True
39,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_028.pt,0.7353031407692984,[0.97   0.97   0.8775 0.6025 0.5   ],alexnet-pytorch_regim_categ,classifier.1,28,True
40,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_045.pt,0.0016328643620463176,[0.6775 0.93   0.975  0.9475 0.6025],alexnet-pytorch_regim_categ,classifier.1,45,True
41,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_075.pt,-0.5841682748232677,[0.4875 0.5    0.6125 0.925  0.9475],alexnet-pytorch_regim_categ,classifier.1,75,True
42,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_012.pt,0.6910777727084043,[0.9825 0.75   0.515  0.495  0.5025],alexnet-pytorch_regim_categ,classifier.1,12,True
43,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_045.pt,0.024008704524913084,[0.6975 0.93   0.98   0.9425 0.6075],alexnet-pytorch_regim_categ,classifier.2,45,True
44,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_018.pt,0.7527747662938058,[0.9825 0.9175 0.6225 0.495  0.4775],alexnet-pytorch_regim_categ,classifier.2,18,True
45,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_006.pt,0.6519272022796424,[0.9525 0.6    0.5    0.5    0.5   ],alexnet-pytorch_regim_categ,classifier.2,6,True
46,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_030.pt,0.717624555000691,[0.9575 0.965  0.925  0.6525 0.5075],alexnet-pytorch_regim_categ,classifier.2,30,True
47,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_015.pt,0.7282820526583896,[0.985  0.86   0.5775 0.495  0.495 ],alexnet-pytorch_regim_categ,classifier.2,15,True
48,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_024.pt,0.7735735208034884,[0.9725 0.9625 0.82   0.5175 0.4775],alexnet-pytorch_regim_categ,classifier.2,24,True
49,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_075.pt,-0.6375908703559671,[0.4925 0.495  0.6175 0.9075 0.95  ],alexnet-pytorch_regim_categ,classifier.2,75,True
50,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_000.pt,0.6104424597267706,[0.88   0.5525 0.5    0.4975 0.4975],alexnet-pytorch_regim_categ,classifier.2,0,True
51,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_022.pt,0.7692337480873621,[0.97  0.955 0.755 0.495 0.495],alexnet-pytorch_regim_categ,classifier.2,22,True
52,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_014.pt,0.7234302356283814,[0.9875 0.8425 0.5425 0.495  0.49  ],alexnet-pytorch_regim_categ,classifier.2,14,True
53,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_2/model_alexnet-pytorch-regim-categ_layer_classifier-2_mode_finetune_beta_008.pt,0.6742998578779261,[0.9575 0.69   0.51   0.495  0.4975],alexnet-pytorch_regim_categ,classifier.2,8,True
